Gender,Age,Handness,Race,Education,Language,ImgID,Scan,Interval,Training,Face,People,Place,Activity,B75_Span,B75_L,B75_R,B90_Span,B90_L,B90_R,B95_Span,B95_L,B95_R,Distinc_Test,Distinc_Encode40,Distinc_Encode60,Distinc_Encode70,Mem_s
-1,62,1,-1,12,0,NEUR27_scan1_img04_day07_D.pt,1,7,-1,1,1,23,22,0.005199307,0.333333333,0.666666667,0.013034033,0.7777777779999999,0.222222222,0.118308351,0.5972850679999999,0.402714932,0.365980688,1.904913344,1.212810911,1.039940742,1
-1,62,1,-1,12,0,NEUR27_scan1_img04_day09_S.pt,1,9,1,0,0,37,22,0.002599653,0.666666667,0.333333333,0.077480087,0.934579439,0.065420561,0.090471092,0.591715976,0.408284024,0.377253394,2.186236106,1.668209525,1.410176411,9
-1,62,1,-1,12,0,NEUR27_scan1_img05_day08_S.pt,1,8,1,1,1,31,0,0.031195841,0.611111111,0.388888889,0.033309196,0.695652174,0.304347826,0.448608137,0.220763723,0.779236277,0.368265247,1.32868988,0.535298249,0.620051865,7
-1,62,1,-1,12,0,NEUR27_scan1_img05_day15_D.pt,1,15,-1,0,0,39,22,0.005199307,0.333333333,0.666666667,0.026068067,0.333333333,0.666666667,0.027301927,0.235294118,0.764705882,0.451103348,1.985205339,1.168758135,1.136175418,1
-1,62,1,-1,12,0,NEUR27_scan1_img06_day08_S.pt,1,8,1,1,1,23,7,0.009532062,0.909090909,0.090909091,0.212889211,0.880952381,0.119047619,0.448608137,0.633651551,0.366348449,0.386347855,3.919517434,1.838400762,1.553960586,9
-1,62,1,-1,12,0,NEUR27_scan1_img06_day15_D.pt,1,15,-1,1,1,27,28,0.012131716,0.571428571,0.428571429,0.018102824,0.76,0.24,0.034261242000000004,0.59375,0.40625,0.479041018,4.9322400360000005,2.498124708,1.872277615,9
-1,62,1,-1,12,0,NEUR27_scan1_img07_day11_S.pt,1,11,1,1,1,0,0,0.028596187,0.636363636,0.363636364,0.045619117,0.746031746,0.253968254,0.135974304,0.937007874,0.062992126,0.359857892,4.122682517,1.774388602,0.969841814,9
-1,62,1,-1,12,0,NEUR27_scan1_img08_day05_D.pt,1,5,-1,1,1,0,0,0.012998267,0.2,0.8,0.015206372,0.428571429,0.571428571,0.7264453959999999,0.010316875,0.989683125,0.532419826,3.70991812,2.157010422,1.459321852,4
-1,62,1,-1,12,0,NEUR27_scan1_img10_day09_S.pt,1,9,1,1,1,0,26,0.002599653,0.333333333,0.666666667,0.008689356,0.833333333,0.166666667,0.01391863,0.923076923,0.076923077,0.372163038,3.743192868,2.350370391,1.704154119,9
-1,62,1,-1,12,0,NEUR27_scan1_img11_day07_D.pt,1,7,-1,0,1,0,26,0.017331023,0.85,0.15,0.109341057,0.602649007,0.397350993,0.096359743,0.5277777779999999,0.472222222,0.381545655,2.257665735,0.963685892,0.6623639060000001,1
